https://kazanfirst.ru/news/494057	В Татарстане сожгли дом вместе с пенсионером	Канистру с воспламеняющейся жидкостью нашли рядом с телом погибшего.
http://inkazan.ru/news/city/26-06-2019/stali-izvestny-daty-otklyucheniya-goryachey-vody-v-kazani-v-iyule	Стали известны даты отключения горячей воды в Казани в июле	Исполнительный комитет Казани опубликовал график отключения горячего водоснабжения в городе на июль этого года. | Inkazan
https://www.cosmo.ru/stars/news/02-07-2019/viktoriyu-bonyu-zhestoko-razygrali-na-tureckom-kurorte/	Викторию Боню «жестоко разыграли» на турецком курорте	Виктория Боня поделилась видео "жестокого розыгрыша" на отдыхе. Вместо фотосессии ей устроили видеосъемку.
http://sports.ru/tribuna/blogs/centre/2500388.html	«Он подкрался сзади и приставил свой болт к моему лицу». Бывший тафгай раскрывает секреты НХЛ	Говорит, что 11,6 млн Панарину – это не так много.
https://gazeta.a42.ru/lenta/news/58144_tryohletnyuyu-devochku-s-probitoi-golovoi-nashli-v-podezde-v	Трёхлетнюю девочку с пробитой головой нашли в подъезде в Ленинградской области	Позднее в полицию доставили женщину 1961 года рождения по подозрению в нанесении тяжёлых повреждений ребёнку
https://tolknews.ru/news/18390-opravdatelnyj-prigovor-sobstvenniku-avtobusa-otmenen-na-altae	Отменен оправдательный приговор собственнику автобуса на Алтае, где погибли люди	Зимой 2017 года в Косихинском районе произошло страшное ДТП, в котором погибли несколько пассажиров автобуса
http://lt.sputniknews.ru/society/20190704/9516869/Evropeyskiy-sud-podderzhal-reshenie-Litvy-po-kanalu-NTV-Mir-Lithuania.html	Европейский суд поддержал решение Литвы по каналу NTV Mir Lithuania	В 2016 году вещание телеканала было приостановлено на 12 месяцев, однако осталась возможность трансляции программ в платных пакетах
http://uz.sputniknews.ru/society/20190808/12201428/Saida-Mirzieva-trogatelno-pozdravila-sestru-s-dnem-rozhdeniya.html	Саида Мирзиёева трогательно поздравила сестру с днем рождения	Сама именинница уже ответила в комментариях к посту в Instagram, признавшись в любви к сестре.
http://mur.tv/bolnoj-pes-zhdal-pomoshhi-ot-xozyaina-no-tot-reshil-chto-brosit-sobaku-gorazdo-proshhe	Собачку бросили из-за болезни. | Мур ТВ	Милого бульдожку отдали в приют. В тот момент он нуждался в серьезном лечении, и хозяева решили, что проще будет избавится от собаки.
http://karelinform.ru/news/incident/24-07-2019/voditel-umer-za-rulem-v-karelii	Водитель умер за рулем в Карелии	В Муезерском районе водителю стало плохо, из-за чего он совершил ДТП и скончался | КарелИнформ
https://www.igromania.ru/news/84650/V_PlayStation_Store_startovala_masshtabnaya_letnyaya_rasprodazha.html	В PlayStation Store стартовала масштабная летняя распродажа 	Она продлится до 22 августа. 
http://f1news.ru/interview/bottas/137846.shtml	Валттери Боттас: Надо быть честным перед самим собой	Валттери Боттас признал, что не самый результативный гоночный уик-энд в Канаде стал следствием его собственных ошибок, которые он проанализировал, и теперь готов продолжить борьбу...
https://www.goodhouse.ru/obshchestvo/novosti/sasha-takaya-krasivaya-i-vzroslaya-svetlana-zeynalova-vylozhila-selfi-s-dochkami/	«Саша такая красивая и взрослая»: Светлана Зейналова выложила селфи с дочками	42-летняя телеведущая все свободное время уделяет Александре и годовалой Веронике.
http://car.ru/news/automobili/48147-glava-silnoy-rossii-vstupil-v-polemiku-s-gibdd-po-pravilam-dorozhnogo-dvizheniya	Глава «Сильной России» вступил в полемику с ГИБДД по правилам дорожного движения	Ревизия правил дорожного движения в России может только усугубить проблему безопасности, считает глава общероссийского движения «Сильная Россия» Антон Цветков. С таким мнением он выступил в ответ на инициативу ГИБДД по анализу актуальности действующего свода российских ПДД.
https://riamo.ru/article/365421/retsidivist-v-ssore-zarezal-svoego-znakomogo-v-dmitrovskom-okruge.xl	Рецидивист в ссоре зарезал своего знакомого в Дмитровском округе	По данному факту возбуждено уголовное дело.
http://karelinform.ru/news/society/04-07-2019/zhiteli-karelii-mogut-vyvozit-za-granitsu-alkogol-i-sigarety-bez-ogranicheniy	Жители Карелии могут вывозить за границу алкоголь и сигареты без ограничений	Решение действует на всей территории Евразийского экономического союза, в том числе и в России | КарелИнформ
https://govoritmoskva.ru/news/202228/	Жители посёлка под Краснодаром отравились водой	В больницу с острой кишечной инфекцией попали 20 человек.
http://fn-volga.ru/news/view/id/126934	Федеральные эксперты оценили благодарность Радаева Володину за беседу о «Победе»	Федеральные эксперты оценили благодарность Радаева Володину за беседу о «Победе» – самые достоверные новости Саратова в информационном агентстве «Свободные новости. FreeNews-Volga». Мы ежедневно рассказываем о новостях города и России
http://car.ru/news/automobili/47788-universalyi-so-vtorichnogo-ryinka-za-500-000-rubley	Универсалы со вторичного рынка за 500 000 рублей	Сегодня статистика демонстрирует, что все большее количество автолюбителей нашей страны предпочитают покупать кроссоверы, которые отличаются большой универсальностью.
http://znak.com/2019-06-21/v_noyabrske_utrom_sgorel_mnogokvartirnyy_dvuhetazhnyy_dom	В Ноябрьске утром сгорел многоквартирный двухэтажный дом	В Ноябрьске сегодня, 21 июня, утром пожарные тушили возгорание в расселенном деревянном двухэтажном доме по улице Мира
https://topcor.ru/9609-v-ssha-ubili-urozhenku-rossii-sluzhivshuju-v-amerikanskih-vvs.html	В США убили уроженку России, служившую в американских ВВС	Уроженка России Алла Аушева и ее двое несовершеннолетних детей стали жертвами жестокого преступления, произошедшего в США. Они были убиты неизвестным у себя дома.Звонок в полицию Нью-Йорка поступил примерно в 10.30 (17.30 мск) в субботу 22 июня. Полицейских вызвали в район Стейтен-Айленд, где
http://kazanfirst.ru/news/494603	В Татарстане нашли 50 сел без людей	Еще в более чем 250 сельских населенных пунктах живет от 1 до 10 человек. 
http://riafan.ru/1190107-istochnik-raskryl-vrednye-privychki-keit-middlton	Источник раскрыл вредные привычки Кейт Миддлтон	Кейт Миддлтон ведет активный образ жизни, у супруги принца Уильяма очень насыщенное расписание.
https://riafan.ru/1193227-alibasov-nazval-syna-bolnym-chelovekom-za-zhelanie-propiaritsya-na-otravlenii-otca	Алибасов назвал сына «больным человеком» за желание пропиариться на отравлении отца	Продюсер Бари Алибасов назвал своего сына «больным человеком» за желание того нажиться на истории с отравлением.
https://politsib.ru/news/33306-novosibircy-vysli-na-piket-protiv-mestnoj-zivoderki	Новосибирцы вышли на пикет против местной живодерки	Горожане потребовали наказать убийц кота Моти, найденного расчленённым
http://karelinform.ru/news/incident/25-06-2019/petrozavodchanke-na-piknike-prolomili-golovu-kamnem	Петрозаводчанке на пикнике проломили голову камнем	Подробности рассказали в пресс-службе республиканского МВД | КарелИнформ
https://www.cosmo.ru/stars/news/01-07-2019/sasha-saveleva-soglasilas-prervat-dekret-za-350-tysyach-rubley/	Саша Савельева согласилась прервать декрет за 350 тысяч рублей	Саша Савельева родила первенца три месяца назад. В ближайшее время певица планирует снова выйти на сцену.
http://mur.tv/plach-kotenka-zateryalsya-v-shume-tolpy-i-tolko-odin-paren-uslyshal-malysha	На рынке жалобно плакал котенок | Мур ТВ	Маленький котенок плакал на рынке, а его плач терялся в шуме толпы. Но кроху услышал добрый парень, который пожалел питомца и забрал его домой.
https://www.znak.com/2019-07-02/v_magnitogorske_shestimesyachnyy_malysh_pogib_popav_golovoy_mezhdu_duzhkami_krovatki	В Магнитогорске шестимесячный малыш погиб, попав головой между дужками кроватки	В Магнитогорске устанавливаются обстоятельства смерти шестимесячного мальчика
https://ru.sputnik.md/video/20190624/26555008/strashnye-kadry-vzryvov-voinskaya-ciasti-kazahstsan.html	Страшные кадры взрывов в воинской части в Казахстане - видео	Sputnik Молдова говорит то, о чем другие молчат
https://newdaynews.ru/chel/665244.html	На Южном Урале пассажирский поезд сбил девушку-подростка	В Челябинской области 17-летняя девушка попала под поезд. Как сообщили РИА «Новый День» в пресс-службе Уральского следственного управления СКР на транспорте, возбуждено уголовное дело по факту железнодорожного травмирования 17-летней девочки.
